# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.threadCount,1767550562631000000,1767550622641000000,116
JVM.usedNativeBytes,1767550562631000000,1767550622641000000,283377680
FlushQueue.executionTimeAvgNs,1767550562631000000,1767550622641000000,1.2168301463535229E7
AWTEventQueue.dispatchTimeTotalNS,1767550562631000000,1767550622641000000,3927642766
AWTEventQueue.dispatchTime90PNs,1767550562631000000,1767550622641000000,856063
FlushQueue.waitingTimeAvgNs,1767550562631000000,1767550622641000000,1.1722513895179233E8
NonBlockingReadAction.failedExecutionsCount,1767550562631000000,1767550622641000000,2
FlushQueue.executionTime90PNs,1767550562631000000,1767550622641000000,1019903
FlushQueue.queueSizeMax,1767550562631000000,1767550622641000000,94
FlushQueue.queueSize90P,1767550562631000000,1767550622641000000,35
FlushQueue.executionTimeMaxNs,1767550562631000000,1767550622641000000,8556380159
NonBlockingReadAction.finalizedExecutionsCount,1767550562631000000,1767550622641000000,23
AWTEventQueue.eventsDispatched,1767550562631000000,1767550622641000000,3713
FlushQueue.waitingTime90PNs,1767550562631000000,1767550622641000000,708837375
FlushQueue.queueSizeAvg,1767550562631000000,1767550622641000000,9.517923362175525
FlushQueue.waitingTimeMaxNs,1767550562631000000,1767550622641000000,1182793727
FlushQueue.tasksExecuted,1767550562631000000,1767550622641000000,809
AWTEventQueue.dispatchTimeMaxNs,1767550562631000000,1767550622641000000,868220927
NonBlockingReadAction.finalizedExecutionTimeUs,1767550562631000000,1767550622641000000,215711
NonBlockingReadAction.failedExecutionTimeUs,1767550562631000000,1767550622641000000,9961
AWTEventQueue.dispatchTimeAvgNs,1767550562631000000,1767550622641000000,1057569.1419337464
Indexes.stubs.lookupDurationAvgMs,1767550562631000000,1767550622641000000,0.0
Indexes.stubs.lookupDurationMaxMs,1767550562631000000,1767550622641000000,0.0
IndexesFlusher.totalFlushingTimeUs,1767550562631000000,1767550622641000000,829247
